Entry_Number,Description,Category,Weight_g,Location,Page
Entry-1-0,"unlawfully did possess a controlled dangerous substance ofSchedule r, to wit: Cannabis, in the",Flower,,,1
Entry-1-1,"nuisance, to wit: a Building forthe illegal distribution a Controlled Dangerous Substance, to wit:",Preroll,,,1
Entry-1-2,"Cannabis. Schedule I, against the peace, government and dignity ofthe State.",Flower,,,1
Entry-1-3,"common nuisance, to wit: a Building for the illegal distribution a Controlled Dangerous",Preroll,,,1
Entry-1-4,"Substance, to wit: Cannabis, Schedule l, against the peace, government and dignity ofthe State.",Flower,,,1
Entry-2-10,"Substance, to wit: Cannabis, Schedule I, against the peace, government and dignity ofthe State.",Flower,,,2
Entry-2-5,"nuisance, to wit: a Building for the illegal distribution a Controlled Dangerous Substance, to",Preroll,,,2
Entry-2-6,"wit: Cannabis, Schedule I, against the peace, government and dignity ofthe State.",Flower,,,2
Entry-2-7,"common nuisance, to wit: a Building forthe illegal distribution a Controlled Dangerous",Preroll,,,2
Entry-2-8,"Substance, to wit: Cannabis, Schedule l. against the peace, government and dignity ofthe State.",Flower,,,2
Entry-2-9,"common nuisance, to wit: aBuilding for the illegal distribution a Controlled Dangerous",Preroll,,,2
Entry-3-11,"kilograms ofCannabis, against the peace, government and dignity ofthe State.",Flower,,,3
Entry-3-13,"controlled dangerous substance ofSchedule I, to wit: Psilocybin, in sufficient quantity to indicate",Preroll,,,3
Entry-3-14,"an intent to distribute such controlled dangerous substance, against the peace, government and",Preroll,,,3
Entry-3-15,Cannabis in sufficient quantity to reasonably indicate under all circumstances an intent to,Flower,,,3
Entry-3-16,"distribute said Cannabis, against the peace, government and dignity ofthe State.",Flower,,,3
I 0730,(CDS:IMPORT 5-45 KILO CANNABIS CR.5.614.(b) I 0730),Flower,,,3
l 1692,(Cds Poss W/lnt Dist-Cannabis CR.5.602.(b) l 1692),Flower,,,3
Entry-4-18,"Employees, to distribute a controlled dangerous substance ofSchedule I, to wit: Cannabis,",Flower,,,4
Entry-4-19,"to distributeacontrolled dangerous substance ofSchedule I, to wit: Cannabis, against the peace,",Flower,,,4
Entry-4-20,"Employees, to distribute a controlled dangerous substance ofSchedule I, to wit: Cannabis,",Flower,,,4
Entry-5-21,"Employees, to distribute a controlled dangerous substance ofSchedule I, to wit: Cannabis,",Flower,,,5
Entry-5-22,"controlled dangerous substanceofSchedule l. to wit: Cannabis, against the peace, government",Flower,,,5
Entry-5-23,"controlled dangerous substance ofSchedule I, to wit: Cannabis, against the peace, government",Flower,,,5
Entry-6-24,"lo distribute acontrolled dangerous substance ofSchedule I, to wit: Cannabis, against the peace,",Flower,,,6
Entry-6-25,"lo distribute acontrolled dangerous substance ofSchedule I, to wit: Cannabis, against the peace,",Flower,,,6
Entry-6-26,"Employees, to distribute a conlrolled dangerous substance ofSchedule [, to wit: Cannabis.",Flower,,,6
Entry-7-27,"Employees, to distribute a controlled dangerous substance ofSchedule I, to wit: Cannabis,",Flower,,,7
Entry-8-28,Count7-Cds:Import 5-45Kilo Cannabis--CR.5.614.(b)-1 0730,Flower,,,8
Entry-8-29,Count9-Cds PossW/lntDist-Cannabis--CR.5.602.(b)---1 1692,Flower,,,8
Entry-10-30,"unlawfully did possess a controlled dangerous substance ofSchedule I, to wit: Cannabis, in the",Flower,,,10
Entry-10-31,"nuisance, Lo wit: a Building for the illegal distribution a Controlled Dangerous Substance, to wit:",Preroll,,,10
