Entry_Number,Description,Classification,Weight_g,Store_Location,Page
Entry-24-0,"• THC Cartridges - 981.2 Grams • THCOil - 28 Grams • Pre-RolledCannabis - 2,066.5 Grams • Pre-PackagedCannabis-3,294.75 Grams • THC Gummies-912.13 Grams",Concentrate,981.2,,24
Entry-24-1,"• THCOil - 28 Grams • Pre-RolledCannabis - 2,066.5 Grams • Pre-PackagedCannabis-3,294.75 Grams • THC Gummies-912.13 Grams • SuspectedPsílocybin Edibles/Gummies - 460Grams",Concentrate,28.0,,24
Entry-24-2,• THC Cartridges -767 Grams • THCOil-56 Grams • Pre-Rolled Cannabis-373.5 Grams • Pre-Packaged Cannabis-613.5 Grams • THCGummies -345.9 Grams,Concentrate,767.0,,24
Entry-24-3,• THCOil-56 Grams • Pre-Rolled Cannabis-373.5 Grams • Pre-Packaged Cannabis-613.5 Grams • THCGummies -345.9 Grams • SuspectedPsilocybin Edibles/Gummies - 23.8 Grams,Concentrate,56.0,,24
Entry-24-4,"• THCCartridges - 7,985.4 Grams • THC Oil - 374Grams • Pre-Rolled Cannabis - 3,566.95Grams • Pre-Packaged Cannabis - 2,128.3 Grams • LooseBulkCannabis- 3,057 Grams",Concentrate,985.4,,24
Entry-24-5,"• THC Oil - 374Grams • Pre-Rolled Cannabis - 3,566.95Grams • Pre-Packaged Cannabis - 2,128.3 Grams • LooseBulkCannabis- 3,057 Grams • THC Edibles/Gummies -6,348.4Grams",Concentrate,374.0,,24
Entry-24-6,"• Pre-Rolled Cannabis - 3,566.95Grams • Pre-Packaged Cannabis - 2,128.3 Grams • LooseBulkCannabis- 3,057 Grams • THC Edibles/Gummies -6,348.4Grams • SuspectedPsilocybinEdibles/Gummies - 1,453.68Grams",Edible,566.95,,24
Entry-24-7,"Detective Armiger knows that Maryland is a total THC state, where some states throughout the United States arenot. This meansto beconsidered Iega11y compliant in the stateofMaryland underthe2018 Farm Bill, a Cannabis sample's total THC mustnot exceed 0.3% onadryweight basis. 202500044777 Page 4of6",Likely Cannabis,,,24
Entry-24-8,Cannabis sample's total THC mustnot exceed 0.3% onadryweight basis. 202500044777 Page 4of6 024,Likely Cannabis,,,24
Entry-25-10,"Asa resultofthefieldtesting, Cannabis from each storetestedhigherthan the0.3% permittablebyMaryland State Law. As an example, several ofthe purchases made from the stores were testedprior to obtaining and executing the search and seizure warrants in this investigation. A sampling ofthosepurchases, b",Likely Cannabis,,testedhigherthan the0,25
