Entry_Number,Description,Category,Weight_g,Location,Page
Entry-24-0,"• THC Cartridges - 981.2 Grams • THCOil - 28 Grams • Pre-RolledCannabis - 2,066.5 Grams • Pre-PackagedCannabis-3,294.75 Grams • THC Gummies-912.13 Grams",Cartridge,981.2,,24
Entry-24-1,"• THCOil - 28 Grams • Pre-RolledCannabis - 2,066.5 Grams • Pre-PackagedCannabis-3,294.75 Grams • THC Gummies-912.13 Grams • SuspectedPsílocybin Edibles/Gummies - 460Grams",Edible,28.0,,24
Entry-24-2,• THC Cartridges -767 Grams • THCOil-56 Grams • Pre-Rolled Cannabis-373.5 Grams • Pre-Packaged Cannabis-613.5 Grams • THCGummies -345.9 Grams,Cartridge,767.0,,24
Entry-24-3,• THCOil-56 Grams • Pre-Rolled Cannabis-373.5 Grams • Pre-Packaged Cannabis-613.5 Grams • THCGummies -345.9 Grams • SuspectedPsilocybin Edibles/Gummies - 23.8 Grams,Edible,56.0,,24
Entry-24-4,"• THCCartridges - 7,985.4 Grams • THC Oil - 374Grams • Pre-Rolled Cannabis - 3,566.95Grams • Pre-Packaged Cannabis - 2,128.3 Grams • LooseBulkCannabis- 3,057 Grams",Cartridge,985.4,,24
Entry-24-5,"• THC Oil - 374Grams • Pre-Rolled Cannabis - 3,566.95Grams • Pre-Packaged Cannabis - 2,128.3 Grams • LooseBulkCannabis- 3,057 Grams • THC Edibles/Gummies -6,348.4Grams",Edible,374.0,,24
Entry-24-6,"• Pre-Rolled Cannabis - 3,566.95Grams • Pre-Packaged Cannabis - 2,128.3 Grams • LooseBulkCannabis- 3,057 Grams • THC Edibles/Gummies -6,348.4Grams • SuspectedPsilocybinEdibles/Gummies - 1,453.68Grams",Edible,566.95,,24
Entry-24-7,"Detective Armiger knows that Maryland is a total THC state, where some states throughout the United States arenot. This meansto beconsidered Iega11y compliant in the stateofMaryland underthe2018 Farm Bill, a Cannabis sample's total THC mustnot exceed 0.3% onadryweight basis. 202500044777 Page 4of6",Unknown,,,24
Entry-24-8,Cannabis sample's total THC mustnot exceed 0.3% onadryweight basis. 202500044777 Page 4of6 024,Unknown,,,24
Entry-25-10,03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% TotalTHC 03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis,Preroll,3.5,,25
